x,setpoint,measurement
418,20.00,19.13
419,20.00,20.33
420,20.00,20.33
421,20.00,20.33
422,20.00,19.73
423,20.00,20.92
424,20.00,20.33
425,20.00,19.13
426,20.00,20.33
427,20.00,21.52
428,20.00,19.13
429,20.00,19.73
430,20.00,21.52
431,20.00,19.13
432,20.00,19.73
433,20.00,21.52
434,20.00,18.53
435,20.00,20.33
436,20.00,20.92
437,20.00,19.13
438,20.00,20.33
439,20.00,21.52
440,20.00,18.53
441,0.00,20.33
442,0.00,20.33
443,0.00,15.54
444,0.00,12.55
445,0.00,8.97
446,0.00,4.78
447,0.00,1.20
448,0.00,0.00
449,0.00,0.00
450,0.00,0.00
